date,year,month,day,weekday,hour,demand,temperature
2009/1/1,2009,1,1,4,1,30360,24
2009/1/1,2009,1,1,4,2,29155,24
2009/1/1,2009,1,1,4,3,28086,24
2009/1/1,2009,1,1,4,4,28031,24
2009/1/1,2009,1,1,4,5,27730,24
2009/1/1,2009,1,1,4,6,30490,24
2009/1/1,2009,1,1,4,7,37081,24
2009/1/1,2009,1,1,4,8,46975,24
2009/1/1,2009,1,1,4,9,57261,25
2009/1/1,2009,1,1,4,10,63679,28
2009/1/1,2009,1,1,4,11,65123,30
2009/1/1,2009,1,1,4,12,65142,30
2009/1/1,2009,1,1,4,13,64745,30
2009/1/1,2009,1,1,4,14,64783,28
2009/1/1,2009,1,1,4,15,64607,29
2009/1/1,2009,1,1,4,16,61089,29
2009/1/1,2009,1,1,4,17,52406,29
2009/1/1,2009,1,1,4,18,50328,28
2009/1/1,2009,1,1,4,19,52425,27
2009/1/1,2009,1,1,4,20,50457,25
2009/1/1,2009,1,1,4,21,41577,25
2009/1/1,2009,1,1,4,22,36002,25
2009/1/1,2009,1,1,4,23,33522,25
2009/1/1,2009,1,1,4,24,30625,24
2009/1/2,2009,1,2,5,1,29060,24
2009/1/2,2009,1,2,5,2,27586,24
2009/1/2,2009,1,2,5,3,26846,24
2009/1/2,2009,1,2,5,4,26561,23
2009/1/2,2009,1,2,5,5,26626,23
2009/1/2,2009,1,2,5,6,29623,23
2009/1/2,2009,1,2,5,7,36612,23
2009/1/2,2009,1,2,5,8,48735,23
2009/1/2,2009,1,2,5,9,57640,24
2009/1/2,2009,1,2,5,10,62674,25
2009/1/2,2009,1,2,5,11,64199,27
2009/1/2,2009,1,2,5,12,63426,28
2009/1/2,2009,1,2,5,13,62501,29
2009/1/2,2009,1,2,5,14,63652,29
2009/1/2,2009,1,2,5,15,63210,28
2009/1/2,2009,1,2,5,16,62199,28
2009/1/2,2009,1,2,5,17,54278,28
2009/1/2,2009,1,2,5,18,50700,27
2009/1/2,2009,1,2,5,19,52979,27
2009/1/2,2009,1,2,5,20,50947,26
2009/1/2,2009,1,2,5,21,41600,25
2009/1/2,2009,1,2,5,22,35936,24
2009/1/2,2009,1,2,5,23,32087,24
2009/1/2,2009,1,2,5,24,29645,24
2009/1/3,2009,1,3,6,1,28288,24
2009/1/3,2009,1,3,6,2,26990,24
2009/1/3,2009,1,3,6,3,26284,24
2009/1/3,2009,1,3,6,4,26047,23
2009/1/3,2009,1,3,6,5,25965,23
2009/1/3,2009,1,3,6,6,27347,23
2009/1/3,2009,1,3,6,7,29320,23
2009/1/3,2009,1,3,6,8,33989,24
2009/1/3,2009,1,3,6,9,44474,24
2009/1/3,2009,1,3,6,10,51617,25
2009/1/3,2009,1,3,6,11,52517,26
2009/1/3,2009,1,3,6,12,50691,26
2009/1/3,2009,1,3,6,13,47800,26
2009/1/3,2009,1,3,6,14,47629,27
2009/1/3,2009,1,3,6,15,46962,27
2009/1/3,2009,1,3,6,16,46680,26
2009/1/3,2009,1,3,6,17,45825,26
2009/1/3,2009,1,3,6,18,46635,25
2009/1/3,2009,1,3,6,19,50761,25
2009/1/3,2009,1,3,6,20,49260,24
2009/1/3,2009,1,3,6,21,40557,24
2009/1/3,2009,1,3,6,22,34675,24
2009/1/3,2009,1,3,6,23,31996,23
2009/1/3,2009,1,3,6,24,29536,23
2009/1/4,2009,1,4,7,1,28364,23
2009/1/4,2009,1,4,7,2,26949,24
2009/1/4,2009,1,4,7,3,25615,24
2009/1/4,2009,1,4,7,4,25146,24
2009/1/4,2009,1,4,7,5,24969,24
2009/1/4,2009,1,4,7,6,24833,24
2009/1/4,2009,1,4,7,7,23998,24
2009/1/4,2009,1,4,7,8,25935,24
2009/1/4,2009,1,4,7,9,35521,25
2009/1/4,2009,1,4,7,10,41549,26
2009/1/4,2009,1,4,7,11,42181,28
2009/1/4,2009,1,4,7,12,42797,30
2009/1/4,2009,1,4,7,13,42573,29
2009/1/4,2009,1,4,7,14,42768,28
2009/1/4,2009,1,4,7,15,42478,28
2009/1/4,2009,1,4,7,16,41759,28
2009/1/4,2009,1,4,7,17,41730,27
2009/1/4,2009,1,4,7,18,43558,26
2009/1/4,2009,1,4,7,19,46955,25
2009/1/4,2009,1,4,7,20,45841,25
