date,year,month,day,weekday,hour,demand,temperature
2023/1/1,2023,1,1,7,1,10511,50
2023/1/1,2023,1,1,7,2,10050,50
2023/1/1,2023,1,1,7,3,9718,50
2023/1/1,2023,1,1,7,4,9532,50
2023/1/1,2023,1,1,7,5,9507,50
2023/1/1,2023,1,1,7,6,9687,49
2023/1/1,2023,1,1,7,7,10099,49
2023/1/1,2023,1,1,7,8,10447,50
2023/1/1,2023,1,1,7,9,10717,49
2023/1/1,2023,1,1,7,10,10810,50
2023/1/1,2023,1,1,7,11,10920,50
2023/1/1,2023,1,1,7,12,11103,50
2023/1/1,2023,1,1,7,13,11381,50
2023/1/1,2023,1,1,7,14,11443,49
2023/1/1,2023,1,1,7,15,11750,49
2023/1/1,2023,1,1,7,16,12304,48
2023/1/1,2023,1,1,7,17,13407,46
2023/1/1,2023,1,1,7,18,14292,44
2023/1/1,2023,1,1,7,19,14067,43
2023/1/1,2023,1,1,7,20,13677,41
2023/1/1,2023,1,1,7,21,13212,41
2023/1/1,2023,1,1,7,22,12604,40
2023/1/1,2023,1,1,7,23,11853,40
2023/1/1,2023,1,1,7,24,11145,39
2023/1/2,2023,1,2,1,1,10603,38
2023/1/2,2023,1,2,1,2,10320,37
2023/1/2,2023,1,2,1,3,10207,36
2023/1/2,2023,1,2,1,4,10243,36
2023/1/2,2023,1,2,1,5,10479,34
2023/1/2,2023,1,2,1,6,10987,34
2023/1/2,2023,1,2,1,7,11719,34
2023/1/2,2023,1,2,1,8,12344,34
2023/1/2,2023,1,2,1,9,12862,35
2023/1/2,2023,1,2,1,10,13256,38
2023/1/2,2023,1,2,1,11,13467,40
2023/1/2,2023,1,2,1,12,13506,42
2023/1/2,2023,1,2,1,13,13443,44
2023/1/2,2023,1,2,1,14,13472,46
2023/1/2,2023,1,2,1,15,13492,47
2023/1/2,2023,1,2,1,16,13781,48
2023/1/2,2023,1,2,1,17,14792,46
2023/1/2,2023,1,2,1,18,15709,45
2023/1/2,2023,1,2,1,19,15499,42
2023/1/2,2023,1,2,1,20,15006,40
2023/1/2,2023,1,2,1,21,14399,38
2023/1/2,2023,1,2,1,22,13562,36
2023/1/2,2023,1,2,1,23,12596,36
2023/1/2,2023,1,2,1,24,11756,34
2023/1/3,2023,1,3,2,1,11161,34
2023/1/3,2023,1,3,2,2,10848,33
2023/1/3,2023,1,3,2,3,10726,32
2023/1/3,2023,1,3,2,4,10758,33
2023/1/3,2023,1,3,2,5,11113,33
2023/1/3,2023,1,3,2,6,11961,33
2023/1/3,2023,1,3,2,7,13454,36
2023/1/3,2023,1,3,2,8,14443,36
2023/1/3,2023,1,3,2,9,14824,37
2023/1/3,2023,1,3,2,10,15067,38
2023/1/3,2023,1,3,2,11,15275,38
2023/1/3,2023,1,3,2,12,15429,39
2023/1/3,2023,1,3,2,13,15458,39
2023/1/3,2023,1,3,2,14,15405,39
2023/1/3,2023,1,3,2,15,15256,40
2023/1/3,2023,1,3,2,16,15268,40
2023/1/3,2023,1,3,2,17,15871,41
2023/1/3,2023,1,3,2,18,16338,40
2023/1/3,2023,1,3,2,19,16028,40
2023/1/3,2023,1,3,2,20,15450,40
2023/1/3,2023,1,3,2,21,14729,39
2023/1/3,2023,1,3,2,22,13810,39
2023/1/3,2023,1,3,2,23,12707,39
2023/1/3,2023,1,3,2,24,11759,40
2023/1/4,2023,1,4,3,1,11101,39
2023/1/4,2023,1,4,3,2,10723,39
2023/1/4,2023,1,4,3,3,10564,39
2023/1/4,2023,1,4,3,4,10568,40
2023/1/4,2023,1,4,3,5,10857,40
2023/1/4,2023,1,4,3,6,11675,39
2023/1/4,2023,1,4,3,7,13051,39
2023/1/4,2023,1,4,3,8,14024,39
2023/1/4,2023,1,4,3,9,14293,39
2023/1/4,2023,1,4,3,10,14365,40
2023/1/4,2023,1,4,3,11,14316,42
2023/1/4,2023,1,4,3,12,14236,43
2023/1/4,2023,1,4,3,13,14199,44
2023/1/4,2023,1,4,3,14,14170,45
2023/1/4,2023,1,4,3,15,14190,45
2023/1/4,2023,1,4,3,16,14420,45
2023/1/4,2023,1,4,3,17,15179,44
2023/1/4,2023,1,4,3,18,15791,44
2023/1/4,2023,1,4,3,19,15561,43
2023/1/4,2023,1,4,3,20,15067,43
2023/1/4,2023,1,4,3,21,14410,43
2023/1/4,2023,1,4,3,22,13526,43
2023/1/4,2023,1,4,3,23,12511,43
2023/1/4,2023,1,4,3,24,11580,43
2023/1/5,2023,1,5,4,1,10909,43
2023/1/5,2023,1,5,4,2,10536,43
2023/1/5,2023,1,5,4,3,10349,43
2023/1/5,2023,1,5,4,4,10349,43
2023/1/5,2023,1,5,4,5,10646,42
2023/1/5,2023,1,5,4,6,11541,43
2023/1/5,2023,1,5,4,7,12984,42
2023/1/5,2023,1,5,4,8,14043,42
2023/1/5,2023,1,5,4,9,14473,41
2023/1/5,2023,1,5,4,10,14665,41
2023/1/5,2023,1,5,4,11,14823,41
2023/1/5,2023,1,5,4,12,14896,41
2023/1/5,2023,1,5,4,13,14871,41
