exp_name,window,mae_pt,smape_pt,mae_kWh,smape_kWh
SKEW_COEF=1,30,0.94,10.89,1.83,9.28
SKEW_COEF=1,60,0.85,10.28,1.54,7.6
SKEW_COEF=1,120,0.87,10.41,1.25,6.24
SKEW_COEF=1,240,0.86,10.27,1.19,5.82
SKEW_COEF=1,360,0.78,9.47,1.28,6.31
SKEW_COEF=1,480,0.82,9.83,1.19,5.86
SKEW_COEF=1,AVG,0.85¡À0.08,10.19¡À0.70,1.38¡À0.45,6.85¡À2.43
SKEW_COEF=3,30,0.94,10.89,1.83,9.29
SKEW_COEF=3,60,0.86,10.3,1.55,7.64
SKEW_COEF=3,120,0.86,10.41,1.24,6.17
SKEW_COEF=3,240,0.86,10.28,1.19,5.81
SKEW_COEF=3,360,0.78,9.47,1.27,6.26
SKEW_COEF=3,480,0.82,9.81,1.18,5.83
SKEW_COEF=3,AVG,0.85¡À0.08,10.19¡À0.70,1.38¡À0.46,6.84¡À2.45
SKEW_COEF=5,30,0.95,11.02,1.79,9.06
SKEW_COEF=5,60,0.88,10.48,1.5,7.43
SKEW_COEF=5,120,0.87,10.41,1.25,6.28
SKEW_COEF=5,240,0.87,10.29,1.16,5.75
SKEW_COEF=5,360,0.82,9.68,1.25,6.14
SKEW_COEF=5,480,0.92,10.57,1.13,5.57
SKEW_COEF=5,AVG,0.89¡À0.06,10.41¡À0.61,1.35¡À0.44,6.71¡À2.36
SKEW_COEF=7,30,0.94,10.97,1.75,8.89
SKEW_COEF=7,60,0.85,10.32,1.5,7.38
SKEW_COEF=7,120,0.85,10.3,1.25,6.2
SKEW_COEF=7,240,0.86,10.27,1.21,5.92
SKEW_COEF=7,360,0.78,9.48,1.27,6.24
SKEW_COEF=7,480,0.83,9.85,1.19,5.85
SKEW_COEF=7,AVG,0.85¡À0.09,10.20¡À0.77,1.36¡À0.39,6.75¡À2.14
SKEW_COEF=9,30,0.94,10.96,1.8,9.1
SKEW_COEF=9,60,0.85,10.33,1.55,7.64
SKEW_COEF=9,120,0.85,10.32,1.23,6.15
SKEW_COEF=9,240,0.86,10.27,1.21,5.91
SKEW_COEF=9,360,0.78,9.48,1.26,6.21
SKEW_COEF=9,480,0.83,9.86,1.19,5.85
SKEW_COEF=9,AVG,0.85¡À0.09,10.20¡À0.76,1.37¡À0.42,6.81¡À2.29
KURT_COEF=1,30,0.94,10.91,1.81,9.18
KURT_COEF=1,60,0.86,10.34,1.55,7.64
KURT_COEF=1,120,0.85,10.25,1.24,6.15
KURT_COEF=1,240,0.85,10.21,1.18,5.78
KURT_COEF=1,360,0.78,9.46,1.27,6.23
KURT_COEF=1,480,0.82,9.83,1.18,5.83
KURT_COEF=1,AVG,0.85¡À0.09,10.17¡À0.74,1.37¡À0.44,6.80¡À2.38
KURT_COEF=3,30,0.94,10.97,1.83,9.27
KURT_COEF=3,60,0.84,10.26,1.53,7.55
KURT_COEF=3,120,0.86,10.39,1.25,6.22
KURT_COEF=3,240,0.85,10.21,1.2,5.85
KURT_COEF=3,360,0.79,9.5,1.26,6.23
KURT_COEF=3,480,0.83,9.89,1.18,5.84
KURT_COEF=3,AVG,0.85¡À0.09,10.20¡À0.76,1.38¡À0.45,6.83¡À2.44
KURT_COEF=5,30,0.95,11.02,1.79,9.06
KURT_COEF=5,60,0.88,10.48,1.5,7.43
KURT_COEF=5,120,0.87,10.41,1.25,6.28
KURT_COEF=5,240,0.87,10.29,1.16,5.75
KURT_COEF=5,360,0.82,9.68,1.25,6.14
KURT_COEF=5,480,0.92,10.57,1.13,5.57
KURT_COEF=5,AVG,0.89¡À0.06,10.41¡À0.61,1.35¡À0.44,6.71¡À2.36
KURT_COEF=7,30,0.94,10.96,1.76,8.92
KURT_COEF=7,60,0.85,10.33,1.51,7.43
KURT_COEF=7,120,0.86,10.37,1.24,6.15
KURT_COEF=7,240,0.86,10.26,1.21,5.9
KURT_COEF=7,360,0.78,9.5,1.28,6.31
KURT_COEF=7,480,0.82,9.82,1.19,5.87
KURT_COEF=7,AVG,0.85¡À0.09,10.21¡À0.75,1.36¡À0.40,6.76¡À2.16
KURT_COEF=9,30,0.95,11.05,1.79,9.04
KURT_COEF=9,60,0.85,10.32,1.55,7.66
KURT_COEF=9,120,0.85,10.38,1.25,6.26
KURT_COEF=9,240,0.86,10.28,1.19,5.83
KURT_COEF=9,360,0.78,9.48,1.27,6.26
KURT_COEF=9,480,0.82,9.8,1.19,5.85
KURT_COEF=9,AVG,0.85¡À0.10,10.22¡À0.83,1.37¡À0.41,6.82¡À2.22
PREHEAT_ROUNDS=5,30,0.94,10.98,1.72,8.73
PREHEAT_ROUNDS=5,60,0.86,10.37,1.5,7.38
PREHEAT_ROUNDS=5,120,0.85,10.28,1.26,6.3
PREHEAT_ROUNDS=5,240,0.86,10.26,1.22,5.95
PREHEAT_ROUNDS=5,360,0.78,9.5,1.26,6.18
PREHEAT_ROUNDS=5,480,0.84,9.99,1.2,5.95
