exp_name,window,mae_pt,smape_pt,mae_kWh,smape_kWh
SKEW_COEF=1,30,0.96,9.32,3.03,9.75
SKEW_COEF=1,60,0.94,9.07,3.04,9.51
SKEW_COEF=1,120,0.92,8.71,3.05,9.5
SKEW_COEF=1,240,0.86,8.22,2.77,8.55
SKEW_COEF=1,360,0.89,8.57,2.95,9.01
SKEW_COEF=1,480,0.9,8.71,2.94,9.01
SKEW_COEF=1,AVG,0.91¡À0.05,8.77¡À0.55,2.96¡À0.08,9.22¡À0.53
SKEW_COEF=3,30,0.97,9.34,3.09,9.98
SKEW_COEF=3,60,0.94,9.06,3.04,9.56
SKEW_COEF=3,120,0.92,8.73,3.07,9.59
SKEW_COEF=3,240,0.87,8.27,2.75,8.47
SKEW_COEF=3,360,0.88,8.54,2.97,9.08
SKEW_COEF=3,480,0.9,8.72,2.94,9.01
SKEW_COEF=3,AVG,0.91¡À0.06,8.78¡À0.57,2.98¡À0.11,9.28¡À0.70
SKEW_COEF=5,30,0.97,9.39,2.79,9.04
SKEW_COEF=5,60,0.94,9.06,2.95,9.3
SKEW_COEF=5,120,0.92,8.7,2.99,9.31
SKEW_COEF=5,240,0.87,8.26,2.76,8.55
SKEW_COEF=5,360,0.89,8.6,2.85,8.74
SKEW_COEF=5,480,0.9,8.74,2.91,8.91
SKEW_COEF=5,AVG,0.92¡À0.05,8.79¡À0.60,2.88¡À0.12,8.98¡À0.33
SKEW_COEF=7,30,0.96,9.32,3.05,9.83
SKEW_COEF=7,60,0.94,9.07,2.99,9.39
SKEW_COEF=7,120,0.92,8.73,3.06,9.56
SKEW_COEF=7,240,0.87,8.28,2.79,8.61
SKEW_COEF=7,360,0.88,8.54,2.98,9.11
SKEW_COEF=7,480,0.9,8.72,2.96,9.06
SKEW_COEF=7,AVG,0.91¡À0.05,8.78¡À0.54,2.97¡À0.09,9.26¡À0.57
SKEW_COEF=9,30,0.97,9.34,3.05,9.85
SKEW_COEF=9,60,0.94,9.05,3.04,9.56
SKEW_COEF=9,120,0.92,8.74,3.08,9.66
SKEW_COEF=9,240,0.86,8.24,2.79,8.59
SKEW_COEF=9,360,0.89,8.56,2.99,9.15
SKEW_COEF=9,480,0.9,8.72,2.93,8.98
SKEW_COEF=9,AVG,0.91¡À0.05,8.78¡À0.56,2.98¡À0.10,9.30¡À0.55
KURT_COEF=1,30,0.95,9.27,2.98,9.61
KURT_COEF=1,60,0.93,8.92,3.02,9.49
KURT_COEF=1,120,0.92,8.64,3.04,9.5
KURT_COEF=1,240,0.87,8.3,2.73,8.42
KURT_COEF=1,360,0.88,8.46,2.96,9.05
KURT_COEF=1,480,0.89,8.56,2.93,8.98
KURT_COEF=1,AVG,0.91¡À0.05,8.69¡À0.58,2.94¡À0.10,9.18¡À0.44
KURT_COEF=3,30,0.97,9.31,3.07,9.89
KURT_COEF=3,60,0.94,9,3.01,9.44
KURT_COEF=3,120,0.93,8.72,3.05,9.51
KURT_COEF=3,240,0.87,8.24,2.77,8.54
KURT_COEF=3,360,0.88,8.48,2.97,9.1
KURT_COEF=3,480,0.9,8.64,2.93,8.99
KURT_COEF=3,AVG,0.91¡À0.05,8.73¡À0.58,2.97¡À0.10,9.24¡À0.65
KURT_COEF=5,30,0.97,9.39,2.79,9.04
KURT_COEF=5,60,0.94,9.06,2.95,9.3
KURT_COEF=5,120,0.92,8.7,2.99,9.31
KURT_COEF=5,240,0.87,8.26,2.76,8.55
KURT_COEF=5,360,0.89,8.6,2.85,8.74
KURT_COEF=5,480,0.9,8.74,2.91,8.91
KURT_COEF=5,AVG,0.92¡À0.05,8.79¡À0.60,2.88¡À0.12,8.98¡À0.33
KURT_COEF=7,30,0.97,9.34,3.04,9.81
KURT_COEF=7,60,0.94,9.08,2.98,9.39
KURT_COEF=7,120,0.92,8.74,3.06,9.58
KURT_COEF=7,240,0.87,8.27,2.78,8.55
KURT_COEF=7,360,0.89,8.58,2.96,9.04
KURT_COEF=7,480,0.91,8.78,2.93,8.96
KURT_COEF=7,AVG,0.92¡À0.05,8.80¡À0.54,2.96¡À0.10,9.22¡À0.59
KURT_COEF=9,30,0.97,9.36,3.04,9.81
KURT_COEF=9,60,0.95,9.09,3.02,9.49
KURT_COEF=9,120,0.92,8.72,3.08,9.63
KURT_COEF=9,240,0.87,8.27,2.77,8.52
KURT_COEF=9,360,0.89,8.63,2.95,9.03
KURT_COEF=9,480,0.91,8.77,2.95,9.04
KURT_COEF=9,AVG,0.92¡À0.05,8.80¡À0.55,2.97¡À0.11,9.25¡À0.55
PREHEAT_ROUNDS=5,30,0.97,9.36,2.96,9.56
PREHEAT_ROUNDS=5,60,0.95,9.12,2.99,9.41
PREHEAT_ROUNDS=5,120,0.92,8.74,3.05,9.56
PREHEAT_ROUNDS=5,240,0.87,8.28,2.76,8.47
PREHEAT_ROUNDS=5,360,0.89,8.62,2.97,9.08
PREHEAT_ROUNDS=5,480,0.91,8.76,2.94,9
PREHEAT_ROUNDS=5,AVG,0.92¡À0.05,8.81¡À0.55,2.94¡À0.10,9.18¡À0.38
PREHEAT_ROUNDS=10,30,0.97,9.31,2.91,9.43
PREHEAT_ROUNDS=10,60,0.94,9.05,2.99,9.43
PREHEAT_ROUNDS=10,120,0.93,8.73,3.05,9.53
PREHEAT_ROUNDS=10,240,0.87,8.25,2.69,8.3
PREHEAT_ROUNDS=10,360,0.89,8.59,3,9.15
PREHEAT_ROUNDS=10,480,0.9,8.7,2.95,9.03
PREHEAT_ROUNDS=10,AVG,0.91¡À0.06,8.77¡À0.54,2.93¡À0.12,9.15¡À0.39
PREHEAT_ROUNDS=15,30,0.97,9.39,2.79,9.04
PREHEAT_ROUNDS=15,60,0.94,9.06,2.95,9.3
PREHEAT_ROUNDS=15,120,0.92,8.7,2.99,9.31
