date,year,month,day,weekday,hour,demand,temperature
2016/1/1 0:00,2016,1,1,5,1,1051.9523,26.13442383
2016/1/1 1:00,2016,1,1,5,2,1046.5185,25.99797974
2016/1/1 2:00,2016,1,1,5,3,1016.3542,25.95449219
2016/1/1 3:00,2016,1,1,5,4,1019.0894,25.92351685
2016/1/1 4:00,2016,1,1,5,5,1005.5549,25.92775879
2016/1/1 5:00,2016,1,1,5,6,960.8573,25.96053467
2016/1/1 6:00,2016,1,1,5,7,934.6824,26.02611694
2016/1/1 7:00,2016,1,1,5,8,933.0675,26.83712158
2016/1/1 8:00,2016,1,1,5,9,967.5832,27.81765137
2016/1/1 9:00,2016,1,1,5,10,989.1504,28.68444214
2016/1/1 10:00,2016,1,1,5,11,1007.7871,29.47124634
2016/1/1 11:00,2016,1,1,5,12,999.3831,30.0630127
2016/1/1 12:00,2016,1,1,5,13,980.5633,30.34032593
2016/1/1 13:00,2016,1,1,5,14,985.6674,30.43511353
2016/1/1 14:00,2016,1,1,5,15,990.3311,30.21730957
2016/1/1 15:00,2016,1,1,5,16,983.7052,29.77669678
2016/1/1 16:00,2016,1,1,5,17,978.1457,29.07982788
2016/1/1 17:00,2016,1,1,5,18,954.5712,28.20244751
2016/1/1 18:00,2016,1,1,5,19,1041.3174,27.32238159
2016/1/1 19:00,2016,1,1,5,20,1096.2633,26.91939697
2016/1/1 20:00,2016,1,1,5,21,1125.674,26.70894775
2016/1/1 21:00,2016,1,1,5,22,1122.2571,26.53600464
2016/1/1 22:00,2016,1,1,5,23,1087.6066,26.3713623
2016/1/1 23:00,2016,1,1,5,24,1051.6972,26.21077881
2016/1/2 0:00,2016,1,2,6,1,1004.4597,26.08013306
2016/1/2 1:00,2016,1,2,6,2,978.7889,25.96071777
2016/1/2 2:00,2016,1,2,6,3,954.4416,25.86425171
2016/1/2 3:00,2016,1,2,6,4,915.837,25.83278809
2016/1/2 4:00,2016,1,2,6,5,915.001,25.78127441
2016/1/2 5:00,2016,1,2,6,6,919.3919,25.7434021
2016/1/2 6:00,2016,1,2,6,7,900.5639,25.75487671
2016/1/2 7:00,2016,1,2,6,8,929.3805,26.55214844
2016/1/2 8:00,2016,1,2,6,9,1032.9802,27.51064453
2016/1/2 9:00,2016,1,2,6,10,1119.3426,28.33477173
2016/1/2 10:00,2016,1,2,6,11,1201.9511,29.07418213
2016/1/2 11:00,2016,1,2,6,12,1214.9812,29.66060791
2016/1/2 12:00,2016,1,2,6,13,1207.8154,30.0453125
2016/1/2 13:00,2016,1,2,6,14,1213.9733,30.18840942
2016/1/2 14:00,2016,1,2,6,15,1199.3924,30.15450439
2016/1/2 15:00,2016,1,2,6,16,1190.3459,29.87185059
2016/1/2 16:00,2016,1,2,6,17,1158.0375,29.32869873
2016/1/2 17:00,2016,1,2,6,18,1120.0541,28.49660645
2016/1/2 18:00,2016,1,2,6,19,1182.9187,27.47182617
2016/1/2 19:00,2016,1,2,6,20,1225.2524,26.95534668
2016/1/2 20:00,2016,1,2,6,21,1192.2736,26.66213379
2016/1/2 21:00,2016,1,2,6,22,1149.6953,26.46505127
2016/1/2 22:00,2016,1,2,6,23,1113.8081,26.30828247
2016/1/2 23:00,2016,1,2,6,24,1071.0141,26.19585571
2016/1/3 0:00,2016,1,3,6,1,1007.336,26.12679443
2016/1/3 1:00,2016,1,3,7,2,985.999,26.0465332
